text,target,category,polarity,from,to
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,çay~NULL~,DRINKS#PRICES~RESTAURANT#GENERAL~,negative~positive~,119~0~,122~0~
Şatobiryanı öneririm.,Şatobiryanı~,FOOD#QUALITY~,positive~,0~,11~
Sosu tereyagli ve yumusak .,Sosu~,FOOD#QUALITY~,positive~,0~,4~
Sert et sevmeyenler icin cok lezzetliydi.,et~,FOOD#QUALITY~,positive~,5~,7~
Guvecte yogurt ve salatayla iyi bir uclu oldu.,Guvecte yogurt ve salatayla~,FOOD#QUALITY~,positive~,0~,27~
Servisi hizli valesi var.,Servisi~,SERVICE#GENERAL~,positive~,0~,7~
Acik mekanda ise gardenya bolumu guzel.,gardenya bolumu~,AMBIENCE#GENERAL~,positive~,17~,32~
Kalabalik icin ideal.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Yaninda cafe ve nargile bolumu var.
"Cok fazla cesit var,insanin kafasi karışıyor dogrusu."
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,bourbon vanilla~,FOOD#QUALITY~,neutral~,57~,72~
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,beyaz caylarini~,DRINKS#QUALITY~,positive~,50~,65~
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",Ortam~oturma köşeleri~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,positive~positive~,0~28~,5~43~
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,gitmenizi~,RESTAURANT#GENERAL~,negative~,38~,47~
Lezzet değişiyor...
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,Pendik merkez ana şubesi~,RESTAURANT#GENERAL~,positive~,20~,44~
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,kurufasülyeci~,FOOD#QUALITY~,positive~,42~,55~
Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",Fasulyesi~,FOOD#QUALITY~,positive~,0~,9~
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,bekletiyorlarmış~,FOOD#STYLE_OPTIONS~,neutral~,36~,52~
"Yanında turşu, cacık veya yoğurtla harika oluyor.","turşu, cacık veya yoğurtla~",FOOD#STYLE_OPTIONS~,positive~,8~,34~
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",Pilavı~kokuyor~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,0~41~,6~48~
Finali sütlaçla yapmanızı tavsiye ediyorum.,sütlaçla~,FOOD#QUALITY~,positive~,7~,15~
Sütlacı da enfes.,Sütlacı~,FOOD#QUALITY~,positive~,0~,7~
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",lezzet~sıra~,FOOD#QUALITY~SERVICE#GENERAL~,positive~neutral~,137~22~,143~26~
Atıştırmalık Jumbo Combo pek yummy!,Atıştırmalık Jumbo Combo~,FOOD#QUALITY~,positive~,0~,24~
Deniz ürünleri çok başarılı.,Deniz ürünleri~,FOOD#QUALITY~,positive~,0~,14~
Manzarası zaten mükemmel.,Manzarası~,AMBIENCE#GENERAL~,positive~,0~,9~
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",hissediyorsun~,AMBIENCE#GENERAL~,positive~,43~,56~
Onun dışında pek öğrenci mekanı değil.,öğrenci mekanı~,AMBIENCE#GENERAL~,neutral~,17~,31~
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",yer~,AMBIENCE#GENERAL~,neutral~,56~,59~
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",sohbet edebilmek~,AMBIENCE#GENERAL~,positive~,8~,24~
"Çalan müzik tam kıvamında, rahatsız etmiyor.",Çalan müzik~,AMBIENCE#GENERAL~,positive~,0~,11~
"Yemekleri çok lezzetli, manzara mükemmel.",manzara~Yemekleri~,AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~,24~0~,31~9~
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",hesap~,FOOD#PRICES~,negative~,6~,11~
Kalabalik zamanlarda servis fazlasiyla aksiyor.,servis~,SERVICE#GENERAL~,negative~,21~,27~
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",siparis~,SERVICE#GENERAL~,negative~,104~,111~
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,masalarin~,AMBIENCE#GENERAL~,negative~,7~,16~
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",ortamında~yemekler~çilekli magnoliasından~,AMBIENCE#GENERAL~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,44~60~107~,53~68~129~
İçinizi serinletecek enfes bir tat.,tat~,FOOD#QUALITY~,positive~,31~,34~
Garsonlar suratsiz.,Garsonlar~,SERVICE#GENERAL~,negative~,0~,9~
Bu kadar methedilmeyi hakketmiyor.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,Kasarli köftenin~yer~,FOOD#STYLE_OPTIONS~RESTAURANT#GENERAL~,negative~negative~,0~66~,16~69~
Açiklama:
kasarla köfte yoguruluyormus.
Isletme sahibi kaba.,Isletme sahibi~,SERVICE#GENERAL~,negative~,0~,14~
Bizim kasarli köfte tanimimiz böyle diyor sadece!,kasarli köfte~,FOOD#STYLE_OPTIONS~,negative~,6~,19~
Müsteri memnuniyeti sifir!,Müsteri memnuniyeti~,RESTAURANT#GENERAL~,negative~,0~,19~
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",pide~,FOOD#QUALITY~,positive~,25~,29~
O zaman keşke başlangıçlarda menüde yer almasa!,menüde~,FOOD#STYLE_OPTIONS~,negative~,29~,35~
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,fiyatları~ulaşımı~,RESTAURANT#GENERAL~LOCATION#GENERAL~,positive~positive~,85~64~,94~71~
İlk defa bir şubesine gidip oturup yemek yedim.
"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",pide~,FOOD#STYLE_OPTIONS~,positive~,10~,14~
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,pideyi~,FOOD#STYLE_OPTIONS~,negative~,66~,72~
Evet suçluyum!
Tek ayak üstünde köşeme çekiliyorum!
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,tadı~,FOOD#QUALITY~,positive~,6~,10~
"Malzemesi bol, porsiyonu tam kıvamındaydı.",Malzemesi~porsiyonu~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,positive~positive~,0~15~,9~24~
"Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş."
Beşiktaş'ın göbeğinde.,Beşiktaş'ın göbeğinde~,LOCATION#GENERAL~,positive~,0~,21~
"Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri."
Ve deneyim maalesef çok da olumlu olmadı.,deneyim~,RESTAURANT#GENERAL~,negative~,3~,10~
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",Pide lezzeti~siparişleri~,FOOD#QUALITY~SERVICE#GENERAL~,positive~negative~,0~128~,12~139~
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",ortası~kenarlarını~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~negative~,41~24~,47~35~
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",gelecek~,SERVICE#GENERAL~,negative~,87~,94~
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",Yemek~bütçeyi~,FOOD#QUALITY~RESTAURANT#PRICES~,negative~positive~,0~43~,5~50~
Servis:
4 Fiyat:
5 Mekan:
8 Lezzet:
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",kahvalti~fiyat~servis~,FOOD#QUALITY~FOOD#PRICES~SERVICE#GENERAL~,positive~negative~negative~,33~86~20~,41~91~26~
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,yemekleri~ikram~manzarası~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~AMBIENCE#GENERAL~,positive~positive~positive~,69~159~111~,78~164~120~
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,yerlerden~istakoz kavurma~ızgara mantar~,RESTAURANT#GENERAL~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,97~25~8~,106~40~21~
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,mezelerde~,FOOD#QUALITY~,positive~,44~,53~
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",kagitta balik pastirma~kuskonmaz somon sarma~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,22~0~,44~21~
Burada caylar harika!,caylar~,DRINKS#QUALITY~,positive~,7~,13~
Bourbon Vanilla 34 numarali cay.
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,lezzet~,FOOD#QUALITY~,positive~,57~,63~
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,manzara~Ortam~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~,negative~positive~,48~0~,55~5~
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,cay~,DRINKS#STYLE_OPTIONS~,positive~,27~,30~
"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",mekan~,RESTAURANT#GENERAL~,positive~,7~,12~
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",köprünün ve hisarın ışıkları~,AMBIENCE#GENERAL~,positive~,48~,76~
Hemde canlı müzikle :,canlı müzikle~,AMBIENCE#GENERAL~,positive~,6~,19~
Daha iyisi var.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Buranin doneri dedikleri kadar efsane degil.,doneri~,FOOD#QUALITY~,negative~,8~,14~
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",Eti~Eti~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,negative~negative~,0~0~,3~3~
Ortami da begenmedim kalabalik 3. Sinif bir yer.,Ortami~,AMBIENCE#GENERAL~,negative~,0~,6~
Bir daha gitmem,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"Eti lezzetli, mekan gösterişli.",mekan~Eti~,AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~,14~0~,19~3~
Ama sunum resmen sıfır.,sunum~,SERVICE#GENERAL~,negative~,4~,9~
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,tabağa~,FOOD#STYLE_OPTIONS~,negative~,41~,47~
Havuç dilimi ise aşırı yağlı ve şerbetli.,Havuç dilimi~,FOOD#QUALITY~,negative~,0~,12~
Pek yaratıcı özel bir yanı yok.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,servis~,SERVICE#GENERAL~,negative~,39~,45~
"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Olmadı Big Chefs, zincirsin sen...",Big Chefs~,RESTAURANT#GENERAL~,negative~,7~,16~
Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.
Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,tavuk WRAPimiz~,FOOD#STYLE_OPTIONS~,negative~,32~,46~
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,kofte durum~,SERVICE#GENERAL~,negative~,39~,50~
"Tavuklar kupkuruydu, kofte durum ise siradandi.",kofte durum~Tavuklar~,FOOD#QUALITY~FOOD#QUALITY~,neutral~negative~,21~0~,32~8~
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,tatla~,FOOD#QUALITY~,negative~,84~,89~
"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",Zeytinyagli tabagi~,FOOD#STYLE_OPTIONS~,neutral~,0~,18~
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,koymak~Tadlari~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~,negative~positive~,28~0~,34~7~
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",servis~Fiyatlar~tuvaletler~,SERVICE#GENERAL~RESTAURANT#PRICES~AMBIENCE#GENERAL~,negative~neutral~negative~,17~0~35~,23~8~45~
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",servis elemanlari~bayan~manzaraydi~,SERVICE#GENERAL~SERVICE#GENERAL~AMBIENCE#GENERAL~,negative~negative~positive~,66~115~19~,83~120~29~
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",çesit~sunum~,FOOD#STYLE_OPTIONS~FOOD#STYLE_OPTIONS~,positive~negative~,26~44~,31~49~
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,mekan~,RESTAURANT#GENERAL~,positive~,4~,9~
Gidilebilecek iyi yerlerden birisi.,yerlerden~,RESTAURANT#GENERAL~,positive~,18~,27~
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,garsonlarin~servisin~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,115~82~,126~90~
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,garson~,SERVICE#GENERAL~,negative~,14~,20~
Diger Mado subeleri kadar genis bir menü seçenekleri yok.
Klasik dondurma spesiyalleri ve tatlililari var.,dondurma spesiyalleri ve tatlililari~,FOOD#STYLE_OPTIONS~,neutral~,7~,43~
"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",yerdi~,RESTAURANT#GENERAL~,negative~,35~,40~
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,Garsonlar~,SERVICE#GENERAL~,negative~,0~,9~
Internetteki resimlerinden göründügü kadar güzel degildi.,göründügü~,AMBIENCE#GENERAL~,negative~,27~,36~
Su böregi ile kahvalti yaptim bugün.
Su böregi oldukça lezzetli idi.,Su böregi~,FOOD#QUALITY~,positive~,0~,9~
Çay kötü müydü?,Çay~,DRINKS#QUALITY~,neutral~,0~,3~
"Hayir, çok taze ve lezzetliydi.",NULL~,FOOD#QUALITY~,positive~,0~,0~
Beklentimin üstündeydi.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,NULL~manzarasi~,RESTAURANT#GENERAL~AMBIENCE#GENERAL~,positive~positive~,0~105~,0~114~
Dügünler falan da yapilir.
Ama konaklamasi yok diye biliyorum.
Yazin daha zevkli oluyor manzaraya karsi oturmasi.,manzaraya~,AMBIENCE#GENERAL~,positive~,25~,34~
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,fiyat~,RESTAURANT#PRICES~,positive~,35~,40~
O yüzden de bizim için avantajli oluyor.,NULL~,RESTAURANT#PRICES~,positive~,0~,0~
"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",Gözleme~,FOOD#STYLE_OPTIONS~,positive~,0~,7~
Kuaförü de çok ucuz ve iyi ayrica.,Kuaförü~,RESTAURANT#MISCELLANEOUS~,positive~,0~,7~
Daha ne olsun =),NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,manzara~mutfak~,AMBIENCE#GENERAL~FOOD#QUALITY~,positive~negative~,6~44~,13~50~
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,fiyatlarla~deniz ürünlerini~,FOOD#PRICES~FOOD#QUALITY~,negative~negative~,89~61~,99~77~
Paranız çoksa deneyin ama şart da değil:,NULL~,RESTAURANT#GENERAL~,neutral~,0~,0~
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,restoranda~Döner~,AMBIENCE#GENERAL~FOOD#QUALITY~,negative~positive~,59~0~,69~5~
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",Yeri~yemekleri~yemekleri~dösenmis~ortam~,LOCATION#GENERAL~FOOD#STYLE_OPTIONS~FOOD#QUALITY~AMBIENCE#GENERAL~AMBIENCE#GENERAL~,negative~positive~positive~positive~positive~,18~55~55~45~10~,22~64~64~53~15~
Sira bekleme olayi ise çok kötü...,Sira~,SERVICE#GENERAL~,negative~,0~,4~
Aci sevmeyenlere uygun bir mekan degil.,mekan~,RESTAURANT#GENERAL~,neutral~,27~,32~
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",ortam~fajita~karisik köfte tabagi~Manzara~,AMBIENCE#GENERAL~FOOD#QUALITY~FOOD#QUALITY~AMBIENCE#GENERAL~,positive~negative~negative~positive~,17~83~37~0~,22~89~57~7~
Sadece meze yiyin.,yiyin~meze~,FOOD#QUALITY~FOOD#QUALITY~,negative~positive~,12~7~,17~11~
Her hafta gelmeye çalışıyoruz.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",soslarla~,FOOD#STYLE_OPTIONS~,positive~,24~,32~
Rekorum 9 meze!
Balığın fast food gibi yenildiği yer.,Balığın~,FOOD#STYLE_OPTIONS~,neutral~,0~,7~
Yavaş yavaş balık keyfi yapmak isterseniz önermem.,balık~,FOOD#STYLE_OPTIONS~,negative~,12~,17~
Servisi çok hızlı.,hızlı~,SERVICE#GENERAL~,positive~,12~,17~
Mısır ekmeği de sıcacık bayılıyorum.,Mısır ekmeği~,FOOD#QUALITY~,positive~,0~,12~
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",müzikler~ortam~Mizuno Pudding~çeşit~hesap~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~FOOD#QUALITY~DRINKS#STYLE_OPTIONS~DRINKS#PRICES~,positive~positive~negative~positive~negative~,31~49~80~3~141~,39~54~94~8~146~
) Evet aynen böyle olmuştu Dem'de...
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",NULL~paraya~Mizuno Pudding'i~,RESTAURANT#GENERAL~DRINKS#PRICES~FOOD#QUALITY~,positive~negative~negative~,0~61~108~,0~67~124~
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası...
Neden şimdiye kadar gelmemişim dedim.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Servisten de oldukça memnun kaldık.,Servisten~,SERVICE#GENERAL~,positive~,0~,9~
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,mekan~,AMBIENCE#GENERAL~,positive~,80~,85~
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,kalabalıktan~,AMBIENCE#GENERAL~,negative~,29~,41~
Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.,ev hanımları~,AMBIENCE#GENERAL~,negative~,23~,35~
Garsonlar iyi.,Garsonlar~,SERVICE#GENERAL~,positive~,0~,9~
Ürünlerin lezzeti diğer Sütiş'lerle aynı.
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",getirmeleride~garsonlarinin~NULL~,SERVICE#GENERAL~SERVICE#GENERAL~FOOD#STYLE_OPTIONS~,negative~negative~negative~,352~265~0~,365~278~0~
Kesinlikle tavsiye etmiyorum.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.,Eleos~,RESTAURANT#GENERAL~,negative~,95~,100~
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,fiyatlar~,RESTAURANT#PRICES~,negative~,65~,73~
Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.,fix menü~,FOOD#STYLE_OPTIONS~,negative~,7~,15~
Mezeler de vasatın üzerinde.,Mezeler~,FOOD#QUALITY~,neutral~,0~,7~
Balkon/teras bölümü de cidden çok küçük.,Balkon/teras bölümü~,AMBIENCE#GENERAL~,negative~,0~,19~
Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,servisi~mekan~,SERVICE#GENERAL~RESTAURANT#GENERAL~,negative~negative~,22~55~,29~60~
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,Mekanin isletmecisi beyin~tavri tarzi konusmasi uslubu~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,0~26~,25~54~
Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.,Mekanin~,RESTAURANT#GENERAL~,negative~,0~,7~
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,manzara~yemekleride~,AMBIENCE#GENERAL~FOOD#QUALITY~,neutral~negative~,15~51~,22~62~
Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,isletmeciyle~,SERVICE#GENERAL~,negative~,48~,60~
