text,target,category,polarity,from,to
2 heures dattentes minumum aucun service et patronne execrable !,attentes~service~patronne~,SERVICE#GENERAL~SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~negative~,10~33~44~,18~40~52~
Tellement decu a deconseiller vivement !!,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"Les anciens patrons navaient rien avoir, la patronne ny connait rien de rien en restauration",NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
,,,,,
"situé dans la petite Venise avec terrasse au bord de l'eau, l'endroit semblait idéal pour cette journée passée à Colmar.",terrasse au bord de l'eau~endroit~,AMBIENCE#GENERAL~LOCATION#GENERAL~,positive~positive~,33~62~,58~69~
"Puis nous avons été, disons, surpris par l'accueil.",accueil~,SERVICE#GENERAL~,negative~,43~,50~
Un personnage assez dédaigneux nous a accueillis à contre cœur au vu de son attitude.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Même si le repas fut assez copieux et bon, nous avons pas pris autant de plaisir que le lieu nous laissait espéré.",repas~repas~lieu~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~RESTAURANT#GENERAL~,positive~positive~negative~,11~11~88~,16~16~92~
Etait ce la fin de saison qui voulait cela?,,,,,
"Hormis ce personnage, les autres personnes de ce restaurants furent courtoises et très affables.. dommage",NULL~,SERVICE#GENERAL~,positive~,0~,0~
,,,,,
Au début c'était pas mal du tout puis petit à petit ca a baissé en qualité sans arrêts !,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"Le service est moyen, les plats également et les prix sont élevés par rapport à la qualité et à la quantité",service~plats~NULL~plats~,SERVICE#GENERAL~FOOD#QUALITY~RESTAURANT#PRICES~FOOD#STYLE_OPTIONS~,negative~negative~negative~negative~,3~26~0~26~,10~31~0~31~
,,,,,
"Nous sommes habitués de l'établissement depuis 3ans, et le restaurant ne fais que s'améliorer.",restaurant~,RESTAURANT#GENERAL~,positive~,59~,69~
"La cuisine est travaillée et change régulièrement, le service est très professionnel, attentionné et charmant.",cuisine~cuisine~service~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~,positive~positive~positive~,3~3~54~,10~10~61~
Jamais déçus depuis 3 ans.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Continuez !,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Nous y sommes allés par hasard et n'avons pas été déçus!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
La chaleur de l'établissement et des serveurs contribuent à un bien-être certain!!,établissement~serveurs~,AMBIENCE#GENERAL~SERVICE#GENERAL~,positive~positive~,16~37~,29~45~
"Malgré le monde présent, nous avons été rapidement servis.",NULL~,SERVICE#GENERAL~,positive~,0~,0~
La nourriture et le vin proposé étaient succulents.,nourriture~vin~,FOOD#QUALITY~DRINKS#QUALITY~,positive~positive~,3~20~,13~23~
Nous y retournerons!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Accueil minable !,Accueil~,SERVICE#GENERAL~,negative~,0~,7~
Attente interminable !,Attente~,SERVICE#GENERAL~,negative~,0~,7~
Premier plat servi : insectes présents !,NULL~,RESTAURANT#MISCELLANEOUS~,negative~,0~,0~
Nous alertons le personnel qui rejette la faute sur nous (insectes venant de l'extérieur).,personnel~,SERVICE#GENERAL~,negative~,17~,26~
Nous laissons une seconde chance.,,,,,
Deuxième plat servi : encore des INSECTES.,NULL~,RESTAURANT#MISCELLANEOUS~,negative~,0~,0~
"Réponse du personnel : "" Si vous ne vouliez pas d'insectes, il fallait manger à l'intérieur !""",,,,,
Je déconseille fortement !,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Je mange rarement les plats du jour dans les restaurants où je me rends mais j'ai fais une exception cette fois ci.,,,,,
Les personnes avec qui je déjeunais ont commandé le pdj et j'ai donc fais comme eux histoire de ne pas nous retarder.,,,,,
Celui-ci était d'un excellent rapport qualité/prix et très bon en plus.,NULL~NULL~,FOOD#QUALITY~FOOD#PRICES~,positive~positive~,0~0~,0~0~
L'accueil fait par la patronne est toujours souriant et sympathique et le service dynamique et professionnel.,accueil~NULL~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,2~0~,9~0~
Connaissant bien la cuisine de son mari je ne suis pas étonné de la qualité du plat du jour.,plat du jour.~cuisine~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,79~20~,92~27~
"Le cadre vient d'être rafraichi il y a quelques semaines et la maison à colombage qui abrite le restaurant a été rénovée également, bref : Que du positif.",cadre~maison à colombage~NULL~,AMBIENCE#GENERAL~AMBIENCE#GENERAL~RESTAURANT#GENERAL~,positive~positive~positive~,3~63~0~,8~81~0~
"Petit restaurant au décor soigné, aux tables bien mises.",décor~,AMBIENCE#GENERAL~,positive~,20~,25~
"L'accueil manque un peu de chaleur, le service qui suivra également.",accueil~service~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,2~39~,9~46~
"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé"".",menus~hoummous~taboulé~purée d'aubergine~boulettes~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,negative~positive~positive~negative~negative~,15~102~112~174~210~,20~110~119~191~219~
Nous sommes dans le classique du genre avec peu de surprise et des prix plutôt élevés.,NULL~NULL~,FOOD#STYLE_OPTIONS~RESTAURANT#PRICES~,negative~negative~,0~0~,0~0~
Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.,carte des vins~restaurateur~,DRINKS#STYLE_OPTIONS~SERVICE#GENERAL~,positive~positive~,32~73~,46~85~
"Allons, une bonne soirée tout de même, mais un effort souhaité sur les goûts et saveurs méditerranéennes !",NULL~NULL~,RESTAURANT#GENERAL~FOOD#QUALITY~,positive~negative~,0~0~,0~0~
A ne pas rater !,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Excellent restaurant a tout point de vue le service la patronne très agréable les plats excellents le vin très bon !,restaurant~service~patronne~plats~vin~,RESTAURANT#GENERAL~SERVICE#GENERAL~SERVICE#GENERAL~FOOD#QUALITY~DRINKS#QUALITY~,positive~positive~positive~positive~positive~,10~44~55~82~102~,20~51~63~87~105~
Touristes de passage dans le coin nous y reviendrons sans hésiter une prochaine fois un des meilleurs restaurants fait depuis longtemps,restaurants~,RESTAURANT#GENERAL~,positive~,102~,113~
,,,,,
"Bar tapas le soir, décoration changeante et parfois approximative.",décoration~,AMBIENCE#GENERAL~,neutral~,19~,29~
"Les vins sont bons mais pas excellent, les tapas quand il y en a encore sont bonnes, heureusement que le personnel est sympathique.",vins~tapas~tapas~personnel~,DRINKS#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~,neutral~positive~negative~positive~,4~43~43~105~,8~48~48~114~
Depuis longtemps je voulais pousser la porte de cet endroit dans la zone portuaire de Bayonne et voilà nous l'avons fait!!!,,,,,
La déco pourrait être revisité mais l'accueil est bon la prise de commande est rapide et très souriante.,déco~accueil~NULL~,AMBIENCE#GENERAL~SERVICE#GENERAL~SERVICE#GENERAL~,negative~positive~positive~,3~38~0~,7~45~0~
Les plats sont classiques mais corrects avec un prix qui l'est aussi.Vient ensuite l'ambiance musicale qui correspond à l'idée que l'on se fait de ses endroits .,plats~plats~plats~ambiance musicale~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#PRICES~AMBIENCE#GENERAL~,neutral~neutral~neutral~neutral~,4~4~4~85~,9~9~9~102~
Bonne soirée passé dans ce lieu,lieu~,RESTAURANT#GENERAL~,positive~,27~,31~
,,,,,
"Viande de boeuf façon chewing gum, frites couleur marron foncé molles et baignant encore dans leur huile.",Viande de boeuf~frites~,FOOD#QUALITY~FOOD#QUALITY~,negative~negative~,0~35~,15~41~
Service austère.,Service~,SERVICE#GENERAL~,negative~,0~,7~
Que dire de plus?,,,,,
Nous avons rarement aussi mal mangé à Bordeaux.,NULL~,FOOD#QUALITY~,negative~,0~,0~
Déjà il y a un gros loupé niveau hygiène :le cuisinier sort dehors avec ses gants puis retourne en cuisine sans les changer ...,NULL~,RESTAURANT#MISCELLANEOUS~,negative~,0~,0~
"Ensuite, viande pas cuite et frites molles .... ( malade le lendemain)",viande~frites~NULL~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,negative~negative~negative~,9~29~0~,15~35~0~
Le soir pas de menu donc ça revient super cher ( rapport qualité \prix on ne s'y retrouve pas à mon sens).,NULL~NULL~NULL~,RESTAURANT#PRICES~FOOD#STYLE_OPTIONS~RESTAURANT#GENERAL~,negative~negative~negative~,0~0~0~,0~0~0~
"La carte est originale et attractive et les produits de qualité, malheureusement la note est bien trop salée par rapport à l'expérience délivrée.",carte~produits~NULL~NULL~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~RESTAURANT#PRICES~RESTAURANT#GENERAL~,positive~positive~negative~negative~,3~44~0~0~,8~52~0~0~
En effet l'accueil plutôt lourd laisse place à un service manquant d'enthousisame et de sourire.,accueil~service~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,11~50~,18~57~
"Les plats sont très bons, bien cuisinés et présentés mais les tarifs des vins sont plutôt élevés et au final, la note s'avère en décalage avec l'expérience vécue (plus de 100€ à deux pour 1 entrée/2 plats/1 dessert avec vin et café), dans une ambiance vintage/rustique plutôt réussie, mais gâchée par une musique pop/variét sans lien avec la cadre et le concept, diffusée un peu trop fort pour un restaurant ou l'on souhaite passer un moment de calme et de détente.",plats~vins~NULL~ambiance~musique~plats~,FOOD#QUALITY~DRINKS#PRICES~RESTAURANT#PRICES~AMBIENCE#GENERAL~AMBIENCE#GENERAL~FOOD#STYLE_OPTIONS~,positive~negative~negative~positive~negative~positive~,4~73~0~243~305~4~,9~77~0~251~312~9~
Mon coup de coeur de l'année 2014.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Amateur de fromage, lorsque je suis descendu dans la cave à fromage, en accés illimité, avec plus de 200 fromages à goûter, je me suis cru au paradis pour 32€.",cave à fromage~NULL~,FOOD#STYLE_OPTIONS~FOOD#PRICES~,positive~positive~,53~0~,67~0~
"Ajouter à cela une binne salade aux noix et du pain au figues, au lardons et j'en passe, plus un service sympa, j'ai passé un excellent moment à chaque passage ici (ma 1ère visite en a appelé d'autres).",salade aux noix~service~NULL~NULL~,FOOD#QUALITY~SERVICE#GENERAL~RESTAURANT#GENERAL~FOOD#STYLE_OPTIONS~,positive~positive~positive~positive~,25~97~0~0~,40~104~0~0~
Possibilité de manger des plats à la carte sur la thématique du fromage.,plats~,FOOD#STYLE_OPTIONS~,neutral~,26~,31~
Très belle cave à vin.,cave à vin~,DRINKS#QUALITY~,positive~,11~,21~
20/20 pour ce resto,resto~,RESTAURANT#GENERAL~,positive~,14~,19~
,,,,,
Un restaurant pour une soirée étape très sympa avec une réception accueillante.,restaurant~réception~,RESTAURANT#GENERAL~SERVICE#GENERAL~,positive~positive~,3~56~,13~65~
"Simple mais efficace pour un repas du soir , à découvrir mais le midi cela doit être bien.",NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Nous étions cinq pour repas d'affaire tout c'est très bien passé nous avons tous trouvé nos plats excellents, nous reviendrons avec plaisir.",plats~NULL~,FOOD#QUALITY~RESTAURANT#GENERAL~,positive~positive~,92~0~,97~0~
"Venus, comme chaque année depuis très longtemps, pour mon anniversaire, j'avais réservé sur internet.",,,,,
"Nous arrivons, le responsable ne nous trouve pas sur les réservations.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Il nous dit qu'il ne regarde plus internet...Pourquoi proposer l'option dans ce cas ?????,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Et nous case où il peut...,NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Pain du buffet cramé, on nous dit que c'est normal...Une serveuse d'un certain âge très très désagréable et pressée de voir partir les clients, même pas fini l'entrée, on nous emmène le plat, et je ne vous dit pas les réflexions d'un gôut douteux.",Pain~serveuse~,FOOD#QUALITY~SERVICE#GENERAL~,negative~negative~,0~57~,4~65~
"Ca a beaucoup changé, nous n'y remettrons plus les pieds.....",NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Cela faisait 15 ans que j était pas revenu,,,,,
Très déçu:,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Salle tres bruyante,Salle~,AMBIENCE#GENERAL~,negative~,0~,5~
Serveuse très spécial,Serveuse~,SERVICE#GENERAL~,negative~,0~,8~
"Repas très moyen pas de sauce même en n en demandant à la serveuse réponse de la serveuse ""ce soir c est la dèche """,Repas~Repas~serveuse~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~,negative~negative~negative~,0~0~81~,5~5~89~
Repas pas tres bien présenté,Repas~,FOOD#STYLE_OPTIONS~,negative~,0~,5~
Digestion compliqué le lendemain tous mes amis et moi même...,NULL~,FOOD#QUALITY~,negative~,0~,0~
"Service très très long, la patronne qui raconte sa vie alors que le restaurant est bondé et que tout le monde attend, des erreurs dans les plats, du bruit dans les cuisines, etc.",Service~patronne~NULL~NULL~,SERVICE#GENERAL~SERVICE#GENERAL~SERVICE#GENERAL~AMBIENCE#GENERAL~,negative~negative~negative~negative~,0~27~0~0~,7~35~0~0~
Nous nous sommes fait livrer plusieurs fois et nous n'avons jamais été déçus mais le service sur place est déplorable...,service~NULL~,SERVICE#GENERAL~RESTAURANT#MISCELLANEOUS~,negative~positive~,85~0~,92~0~
Pourtant les plats sont bons et la déco sympa.,plats~déco~,FOOD#QUALITY~AMBIENCE#GENERAL~,positive~positive~,13~35~,18~39~
Invité pour un dîner professionnel (groupe de 20 personnes) on nous a présenté ce restaurant comme une bonne adresse de la ville.,,,,,
C'est donc avec l'eau à la bouche que nous avons été reçus dans cet établissement.,,,,,
"Menu complet de très bon rapport qualité/prix (produits proposés, cuisson et présentation des assiettes) et service rapide mais il faut améliorer quelques points pour être un bon restaurant : entretien des appareils sanitaires dans la ""salle d'eau"", chaleur de l'accueil et choix des vins proposés (je viens juste de voir sur tripadvisor qu'il s'agissait d'un bar à vins, je n'ai pas compris le concept alors)",Menu~Menu~produits~assiettes~service~restaurant~NULL~accueil~vins~,FOOD#PRICES~FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~RESTAURANT#GENERAL~RESTAURANT#MISCELLANEOUS~SERVICE#GENERAL~DRINKS#STYLE_OPTIONS~,positive~positive~positive~positive~positive~negative~negative~negative~negative~,0~0~47~94~108~179~0~263~284~,4~4~55~103~115~189~0~270~288~
,,,,,
"Petit restau suggéré par une amie, on ne regrette pas l''expérience !",restau~,RESTAURANT#GENERAL~,positive~,6~,12~
"Produits frais, plats proposés en fonction de l'arrivage, menu concis mais plats extrêmement savoureux.",Produits~plats~menu~plats~,FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#QUALITY~,positive~positive~neutral~positive~,0~16~58~75~,8~21~62~80~
A recommander absolument.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"Vraiment une adresse à retenir pour les amateurs de viande , une entrecôte qui fond dans la bouche , une sauce simple mais goûteuses et un verre de vin de bonne qualité.",adresse~entrecôte~sauce~vin~,RESTAURANT#MISCELLANEOUS~FOOD#QUALITY~FOOD#QUALITY~DRINKS#QUALITY~,positive~positive~positive~positive~,13~65~105~148~,20~74~110~151~
Vraiment je recommande chaudement cette adresse.,adresse~,RESTAURANT#GENERAL~,positive~,40~,47~
J'ai tout aimé ... :-),NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Accueil et service sont agréables et efficaces,NULL~service~,SERVICE#GENERAL~SERVICE#GENERAL~,positive~positive~,0~11~,0~18~
Tous les plats sont bons avec une mention spéciale pour le cassoulet breton,cassoulet breton~plats~,FOOD#QUALITY~FOOD#QUALITY~,positive~positive~,59~9~,75~14~
,,,,,
Restaurant bondé le midi mieux vaut arriver tôt,Restaurant~,RESTAURANT#MISCELLANEOUS~,negative~,0~,10~
"Accueil glacial, à peine installés et la carte en main que l'on vient prendre commande.",Accueil~NULL~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,0~0~,7~0~
Comptez trois quarts d'heure pour avoir uniquement le plat.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
D'ailleurs plat qui nous est grossièrement transmit de mains à mains.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Je n'appelle pas ça un service digne d'un restaurants.,service~,SERVICE#GENERAL~,negative~,23~,30~
Une viande qui n'est pas cuite comme à notre demande : saignante et non à point comme demandé.,viande~,FOOD#QUALITY~,negative~,4~,10~
Aucune commande de dessert n'a été prise après une demie heure d'attente à la fin du plat.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Nous avons donc décidés de partir sans dessert !,,,,,
Départ aussi désagréable que l'accueil.,accueil~Départ~,SERVICE#GENERAL~SERVICE#GENERAL~,negative~negative~,31~0~,38~6~
Déçus de notre soirée car j'ai connu cette taverne sous de meilleurs jours.,taverne~,RESTAURANT#GENERAL~,negative~,43~,50~
Beaucoup trop onéreux pour la qualité des plats.,plats~NULL~,FOOD#QUALITY~RESTAURANT#PRICES~,negative~negative~,42~0~,47~0~
Un rapport qualité/prix qui se passe donc de commentaire.,NULL~qualité/prix~,RESTAURANT#PRICES~FOOD#QUALITY~,negative~neutral~,0~11~,0~23~
Je déconseille +++ .,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"Nous avons rarement mangé des pizza aussi médiocres... pas cuites, mal garnies,...",pizza~,FOOD#QUALITY~,negative~,30~,35~
AFFREUX!!! à déconseiller!!!,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Très bon restaurant .Repas effectué le midi en groupe,restaurant~,RESTAURANT#GENERAL~,positive~,9~,19~
"Service assez rapide vu le nombre de table,assiette bien remplie,personnel sympa choix suffisant",Service~assiette~personnel~NULL~,SERVICE#GENERAL~FOOD#STYLE_OPTIONS~SERVICE#GENERAL~FOOD#STYLE_OPTIONS~,positive~positive~positive~positive~,0~43~65~0~,7~51~74~0~
Un resto très sympa,resto~,RESTAURANT#GENERAL~,positive~,3~,8~
endroit décontracté simple.,endroit~,AMBIENCE#GENERAL~,positive~,0~,7~
sans prétention,NULL~,RESTAURANT#MISCELLANEOUS~,neutral~,0~,0~
mais un moment agréable avec des amis pour un rapport qualité prix imbattable,NULL~NULL~NULL~,RESTAURANT#PRICES~AMBIENCE#GENERAL~RESTAURANT#GENERAL~,positive~positive~positive~,0~0~0~,0~0~0~
,,,,,
très bonne paella ( pour les connaisseurs ) oui grillée dans le fond comme à Barcelone,paella~,FOOD#QUALITY~,positive~,11~,17~
tapas copieuses et bonnes,tapas~tapas~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,positive~positive~,0~0~,5~5~
viandes excellentes pour les amateurs,viandes~,FOOD#QUALITY~,positive~,0~,7~
,,,,,
patron atypique mais à connaître.,patron~,SERVICE#GENERAL~,positive~,0~,6~
très à l écoute !!,NULL~,SERVICE#GENERAL~,positive~,0~,0~
"1ère fois que le service n'est pas à la hauteur de la cuisine dans les restos que je fréquente à Rennes, dommage.",service~,SERVICE#GENERAL~,negative~,17~,24~
"Carte des vins sympa, on me refuse de corriger le tir sur un verre de vin servi plus généreusement précédemment (à 5,90€ le verre, le comportement du patron (?) est décevant).",Carte des vins~patron~verre de vin~verre de vin~,DRINKS#STYLE_OPTIONS~SERVICE#GENERAL~DRINKS#STYLE_OPTIONS~DRINKS#PRICES~,negative~negative~negative~negative~,0~150~61~61~,14~156~73~73~
"La viande est bonne, bien cuite comme demandé.",viande~,FOOD#QUALITY~,positive~,3~,9~
"Les frites sont molles, dommage aussi, pour un resto qui sert des plats accompagnés de pommes de terre.",frites~plats~,FOOD#QUALITY~FOOD#STYLE_OPTIONS~,negative~neutral~,4~66~,10~71~
"Bref une formule à des prix corrects pour centre ville, un vrai potentiel mais absence de sens commerçant et des petits hics qui coincent...dommage encore, surtout de l'avoir fait à un commerçant des métiers de bouche du coin...",formule~NULL~NULL~,FOOD#PRICES~RESTAURANT#GENERAL~SERVICE#GENERAL~,neutral~positive~negative~,9~0~0~,16~0~0~
un bon petit resto qui sert d'excellentes pizzas ou d'autres petits plats pour ceux qui préfèrent débuter autre chose,resto~pizzas~plats~,RESTAURANT#GENERAL~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,13~42~68~,18~48~73~
service tardif possible : pratique après un bon ciné,service~,SERVICE#GENERAL~,positive~,0~,7~
bon accueil,accueil~,SERVICE#GENERAL~,positive~,4~,11~
Un patron qui pourrait être un cas d'école dans les écoles d'hôtellerie.,,,,,
"Il ne dit pas bonjour, baisse la tête, ne vous regarde dans pas dans les yeux et donne ce sentiment que vous le dérangez.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
Je me suis permis de le remercier pour le service et de m'excuser de le déranger pendant son travail.,,,,,
Il m'a répondu que ça l'ennuyait de travailler un dimanche.,NULL~,SERVICE#GENERAL~,negative~,0~,0~
Je vis à Dijon et c'est bien la dernière fois que j'y mets les pieds.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
"Nous apprécions toujours de nous restaurer ""à l'italienne"" dans ce tout petit resto dijonnais.",resto~,RESTAURANT#GENERAL~,positive~,78~,83~
"Mais la dernière fois, c'était un peu moins bien : la pâte à pizza était difficile à couper, ne faudrait-il pas que le patron achète de nouveaux couteaux, car ceux d'IKEA laissent à désirer pour ce gendre de plats.",pâte à pizza~NULL~,FOOD#QUALITY~RESTAURANT#MISCELLANEOUS~,negative~negative~,54~0~,66~0~
Et toujours aussi difficile de venir manger sans avoir réservé !,NULL~,RESTAURANT#MISCELLANEOUS~,negative~,0~,0~
"Sur la place du Bareuzay, symbolique de Dijon, une agréable terrasse.",terrasse~place du Bareuzay~,AMBIENCE#GENERAL~LOCATION#GENERAL~,positive~neutral~,60~7~,68~24~
"La carte est banale, avec une option ""plats bourguignons"" classiques.",carte~,FOOD#STYLE_OPTIONS~,negative~,3~,8~
Carte des vins très limitée en choix aussi bien en quantité qu'en qualité.,Carte des vins~Carte des vins~,DRINKS#STYLE_OPTIONS~DRINKS#QUALITY~,negative~negative~,0~0~,14~14~
Nous avons pris une andouillette sauce dijonnaise à la moutarde et son accompagnement de frites et une andouillette avec petits légumes et purée.,,,,,
"L'andouillette qui n'était pas une 5A était excellente, les frites, légumes et purée également.",andouillette~frites~légumes~purée~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~positive~,2~60~68~79~,14~66~75~84~
Globalement satisfaisant.,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Rien à reprocher au service si ce n'est la hâte de fermer la boutique !,service~,SERVICE#GENERAL~,neutral~,20~,27~
"Sur la forme : l'établissement est plutôt bien décoré, lumineux et agréable, tout à fait dans le style américain.",établissement~,AMBIENCE#GENERAL~,negative~,17~,30~
"Le responsable est souriant et accueillant, même s'il en fait parfois un peu trop, mais c'est mieux comme ça.",responsable~,SERVICE#GENERAL~,positive~,3~,14~
Sur le fond : j'y suis allé 2 fois dans les 3 derniers mois pour manger un hamburger et franchement le contenu de l'assiette n'est pas à la hauteur du prix et c'est véritablement sur ce point que se situe le problème.,assiette~assiette~,FOOD#PRICES~FOOD#QUALITY~,negative~negative~,116~116~,124~124~
"Les hamburgers sont vendus entre 12 et 16 euros ce qui est beaucoup trop pour des préparations très industrielles : pain durci par la cuisson, pas de légumes dans le sandwich et frites qui ne sont pas faites maison.",hamburgers~préparations~pain~sandwich~frites~,FOOD#PRICES~FOOD#QUALITY~FOOD#QUALITY~FOOD#STYLE_OPTIONS~FOOD#QUALITY~,negative~negative~negative~negative~negative~,4~82~116~166~178~,14~94~120~174~184~
